armed,age,gender,is_black,city,signs_of_mental_illness,threat,flee,body_camera,population,percent_completed_hs,poverty_rate,median_income,share_black,share_not_black
Yes,30,M,No,"St. Paul, MN",Yes,Yes,No,No,302592,86.5,22.3,48757,15.7,84.3
Yes,33,M,Yes,"St. Paul, MN",No,Yes,No,No,302592,86.5,22.3,48757,15.7,84.3
Yes,29,M,No,"St. Paul, MN",No,Yes,No,No,302592,86.5,22.3,48757,15.7,84.3
Yes,29,M,Yes,"St. Paul, MN",No,Yes,No,No,302592,86.5,22.3,48757,15.7,84.3
Yes,34,M,Yes,"Chesapeake, VA",Yes,Yes,No,No,237573,91.1,9.7,68620,29.8,70.2
Yes,26,M,Yes,"Chesapeake, VA",Yes,Yes,No,Yes,237573,91.1,9.7,68620,29.8,70.2
Yes,68,M,No,"Lake Jackson, TX",No,Yes,No,No,27291,92.9,8.3,73399,5.1,94.9
Yes,33,F,No,"Lake Jackson, TX",No,Yes,Yes,No,27291,92.9,8.3,73399,5.1,94.9
Yes,34,M,No,"Draper, UT",No,Yes,No,Yes,47163,96.8,4.9,95804,1.4,98.6
Yes,39,M,Yes,"Aurora, CO",No,Yes,No,No,363650,86.5,15.3,53011,15.7,84.3
No,37,M,Yes,"Aurora, CO",No,No,Yes,No,363650,86.5,15.3,53011,15.7,84.3
Yes,25,M,No,"Aurora, CO",No,Yes,Yes,No,363650,86.5,15.3,53011,15.7,84.3
Yes,36,M,No,"Aurora, CO",No,Yes,No,No,363650,86.5,15.3,53011,15.7,84.3
Yes,25,M,Yes,"Aurora, CO",No,Yes,No,No,363650,86.5,15.3,53011,15.7,84.3
Yes,35,M,No,"Aurora, CO",No,Yes,Yes,No,363650,86.5,15.3,53011,15.7,84.3
Yes,24,M,No,"Bloomington, MN",Yes,Yes,No,No,85412,93.1,8.9,64540,7.2,92.8
Yes,36,M,No,"Fairfield, CA",Yes,Yes,No,No,114213,85.6,13.2,67364,15.7,84.3
Yes,41,M,No,"Mabank, TX",No,Yes,Yes,No,3344,81.6,24.2,33764,4.0,96.0
Yes,48,M,No,"Fremont, CA",No,Yes,No,No,233236,92.3,6.1,105355,3.3,96.7
Yes,54,M,No,"Fremont, CA",No,Yes,No,No,233236,92.3,6.1,105355,3.3,96.7
No,45,M,Yes,"Fremont, CA",Yes,Yes,No,No,233236,92.3,6.1,105355,3.3,96.7
Yes,21,M,Yes,"Muskogee, OK",No,Yes,Yes,Yes,37870,84.5,25.4,34894,16.1,83.9
Yes,24,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
No,43,M,Yes,"Los Angeles, CA",Yes,Yes,No,Yes,3959194,75.5,22.1,50205,9.6,90.4
Yes,25,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,39,M,No,"Los Angeles, CA",No,Yes,Yes,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,35,M,No,"Los Angeles, CA",Yes,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,29,M,Yes,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,38,M,No,"Los Angeles, CA",No,Yes,Yes,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,41,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,30,F,Yes,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,29,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,39,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,37,F,No,"Los Angeles, CA",Yes,Yes,No,Yes,3959194,75.5,22.1,50205,9.6,90.4
Yes,53,M,Yes,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,35,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
No,26,M,No,"Los Angeles, CA",Yes,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,16,M,No,"Los Angeles, CA",No,Yes,Yes,Yes,3959194,75.5,22.1,50205,9.6,90.4
Yes,29,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,33,M,No,"Los Angeles, CA",No,Yes,Yes,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,28,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,28,M,No,"Los Angeles, CA",No,Yes,No,Yes,3959194,75.5,22.1,50205,9.6,90.4
Yes,31,M,Yes,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,18,M,Yes,"Los Angeles, CA",No,Yes,Yes,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,14,M,No,"Los Angeles, CA",No,Yes,Yes,Yes,3959194,75.5,22.1,50205,9.6,90.4
Yes,18,M,Yes,"Los Angeles, CA",No,Yes,Yes,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,18,M,Yes,"Los Angeles, CA",No,No,Yes,Yes,3959194,75.5,22.1,50205,9.6,90.4
Yes,16,M,No,"Los Angeles, CA",Yes,Yes,No,Yes,3959194,75.5,22.1,50205,9.6,90.4
Yes,23,M,No,"Los Angeles, CA",No,No,Yes,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,33,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
No,20,M,Yes,"Los Angeles, CA",No,No,Yes,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,32,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,50,M,No,"Los Angeles, CA",No,Yes,Yes,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,70,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,35,M,No,"Los Angeles, CA",No,Yes,Yes,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,28,M,Yes,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,29,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,36,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,36,M,No,"Los Angeles, CA",Yes,Yes,No,Yes,3959194,75.5,22.1,50205,9.6,90.4
No,29,M,No,"Los Angeles, CA",No,No,Yes,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,46,M,No,"Los Angeles, CA",No,Yes,No,No,3959194,75.5,22.1,50205,9.6,90.4
Yes,27,M,No,"Fort Worth, TX",No,Yes,No,No,855447,80.8,18.8,53214,18.9,81.1
Yes,40,M,No,"Fort Worth, TX",No,Yes,No,No,855447,80.8,18.8,53214,18.9,81.1
Yes,31,M,Yes,"Fort Worth, TX",No,Yes,Yes,No,855447,80.8,18.8,53214,18.9,81.1
Yes,30,M,Yes,"Fort Worth, TX",No,Yes,Yes,No,855447,80.8,18.8,53214,18.9,81.1
