@relation 'dataset-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,4-weka.filters.supervised.instance.SpreadSubsample-M0.0-X900.0-S1-weka.filters.unsupervised.attribute.Remove-R1,3-8'

@attribute age numeric
@attribute population numeric
@attribute percent_completed_hs numeric
@attribute poverty_rate numeric
@attribute median_income numeric
@attribute share_black numeric
@attribute share_not_black numeric
@attribute is_black {No,Yes}

@data
26,2717379,82.3,22.3,48522,32.9,67.1,No
59,115629,57.8,24.9,38085,0.8,99.2,No
42,77391,92.1,8.8,70323,0.9,99.1,No
31,195925,87.4,20.3,47243,2.7,97.3,No
34,6703,82.7,35.9,30567,4.7,95.3,No
25,103408,80.4,24.2,45925,6.3,93.7,No
25,474651,88,16.7,49896,13.7,86.3,No
42,1049,86.6,25.4,36750,0.2,99.8,No
27,80118,86.4,23,41931,0.9,99.1,No
34,1400678,87.3,15.4,66116,6.7,93.3,No
29,242280,85.7,18.3,47012,2.9,97.1,No
32,694802,86.1,17.3,53637,10.2,89.8,No
39,3959194,75.5,22.1,50205,9.6,90.4,No
30,3100,78.7,29.7,31708,5.1,94.9,No
18,8456560,80.3,20.6,53373,25.5,74.5,No
24,3344,77.3,26.5,30218,42.2,57.8,No
58,3666,80.4,30.3,33095,5.1,94.9,No
21,11801,84.6,9.6,36440,0.8,99.2,No
18,112510,91.4,7,79925,4.1,95.9,No
37,46925,90.3,9.1,72399,3.5,96.5,No
31,34129,81.4,14,46865,0.4,99.6,No
22,266497,80.9,12.5,65185,4.6,95.4,No
47,1609816,80.7,23.1,47326,6.5,93.5,No
44,74241,91.7,15.2,46966,1.1,98.9,No
33,490842,87.5,16.5,48809,3.5,96.5,No
25,68180,94.1,18.7,43541,1.1,98.9,No
22,211159,81.2,20.5,48577,4.2,95.8,No
37,46925,90.3,8.9,72399,3.5,96.5,No
29,1609816,80.7,23.1,47326,6.5,93.5,No
29,166427,86.9,18.2,47191,1.5,98.5,No
28,106772,96.3,23.1,58484,0.9,99.1,No
23,3959194,75.5,22.1,50205,9.6,90.4,No
15,142717,91.6,15.2,47763,34.1,65.9,No
44,61207,91.3,18.9,45358,0.8,99.2,No
56,67486,85.5,17.8,50136,28,72,No
38,14264,87.8,34.1,28071,6.2,93.8,No
43,120513,77.3,26.5,36930,12.5,87.5,No
35,363650,86.5,15.3,53011,15.7,84.3,No
28,521667,75.2,29.8,41531,8.3,91.7,No
26,32365,96,4.6,76449,1.6,98.4,No
42,160,80.6,43.9,12083,0,100,No
57,10026,90.8,14.3,41196,1.1,98.9,No
17,36542,84.8,21,36698,46.6,53.4,No
21,96553,89.9,15.4,55673,9.7,90.3,No
20,132654,92.9,9.8,59916,5.1,94.9,No
21,638306,85,18.3,47779,15.1,84.9,No
30,349580,75.8,16.5,60752,2.8,97.2,No
67,35091,95.5,7.5,85420,7.4,92.6,No
25,104085,88,7.6,90208,2.4,97.6,No
51,97142,90.3,15.4,56882,2.6,97.4,No
35,88104,96.3,6.3,92127,1.8,98.2,No
33,2024,85.9,11,46938,1.9,98.1,No
29,2542,85.4,16,38333,0.3,99.7,No
50,446835,73.2,28.3,31051,19.2,80.8,No
25,15658,85,17.5,53851,15.1,84.9,No
28,37777,97.4,3.6,78588,5.4,94.6,No
30,21850,89.2,17.5,47149,12.3,87.7,No
40,151036,73.6,18.7,50899,2.5,97.5,No
33,140445,84.2,13.2,78513,1.6,98.4,No
36,104248,85,11,65472,2.7,97.3,No
53,2809,87.6,18,51144,0.3,99.7,No
32,71051,91.3,24.2,48680,1.9,98.1,No
34,216088,68.2,33.4,37047,15,85,No
21,11801,84.9,19.9,36440,0,100,No
29,75012,87.8,8.1,85521,6.3,93.7,No
36,104248,88.7,12.1,66076,2.7,97.3,No
36,80600,89.2,7.7,40219,0.2,99.8,No
32,652511,83.7,27.6,36445,63.3,36.7,No
62,88103,65.1,39.6,26784,13.2,86.8,No
26,91666,92,24.9,42342,2.1,97.9,No
31,83529,85.7,17.6,50737,1,99,No
26,14040,92.5,9.9,51927,32.3,67.7,No
56,19006,83.4,16.9,43395,1.9,98.1,No
19,11801,84.9,9.6,36440,0,100,No
52,75093,83.2,20.8,40432,27.8,72.2,No
18,40162,95.2,7,80978,15.3,84.7,No
30,166597,88.3,25.7,33557,4.1,95.9,No
36,64936,84.3,14.8,58939,7.1,92.9,No
35,937371,87.5,18,57689,8.1,91.9,No
29,13852,97.7,2.7,120522,4.3,95.7,No
19,11801,84.9,19.9,36440,0.8,99.2,No
25,870854,87,13.2,81294,6.1,93.9,No
25,51701,91.7,8.5,50767,26.8,73.2,No
